Company,Period,Period End Date,Total Assets,Total Liabilities,Total Equity,Inventory,Current Assets,Current Liabilities,Cash & Equivalents,Total Debt,Long-Term Debt,Short-Term Debt,CFO,CapEx,Free Cash Flow,Dividends Paid,Share Repurchases,Interest Expense,Income Before Tax,Revenue,Gross Profit,EBITDA,EBIT,Net Income,Revenue Growth,Gross Margin,EBITDA Margin,EBIT Margin,Net Margin,ROA,ROE,Current Ratio,Quick Ratio,Debt/Equity,Debt/Capital,Debt/EBITDA,Asset Turnover,Inventory Turnover
Metro Inc.,2021,25/09/2021,13592.1,7179.3,6412.8,1169,2466.8,2198.2,445.8,4564,2318.2,588.3,1583.3,-469.2,697.2,-240.1,-456.3,-143.2,1120.7,18283,3654.8,1542.8,1242.5,823,0.016,0.2,0.084,0.068,0.045,0.057,0.131,1.1,0.6,0.712,0.416,2.7,1.4,12
Metro Inc.,2022,24/09/2022,13401.3,6782.9,6618.4,1331.1,2183.3,1952.5,13.4,4137.2,2339.9,294.6,1461.4,-497.3,559.6,-257.9,-470,-134.2,1153.6,18888.9,3783.3,1634.9,1315.7,846.1,0.033,0.2,0.087,0.07,0.045,0.061,0.13,1.1,0.4,0.625,0.385,2.3,1.4,12.1
Metro Inc.,2023,30/09/2023,13865.3,7049,6816.3,1451,2403.6,1960.8,29.5,4337.1,2659.1,297.7,1563.5,-580.7,485.5,-275,-593.6,-151.4,1321.8,20724.6,4082.2,1780.7,1443.4,1014.8,0.097,0.197,0.086,0.07,0.049,0.066,0.152,1.2,0.5,0.636,0.389,2.2,1.5,12
Metro Inc.,2024,28/09/2024,14140.6,7101.7,7038.9,1508.3,2474,2285.6,29.4,4311.8,2358.4,580.8,1677,-482.4,778,-294.6,-485.7,-167.9,1250.1,21219.9,4179.3,1790.2,1416,928.8,0.024,0.197,0.084,0.067,0.044,0.063,0.134,1.1,0.4,0.613,0.38,2.2,1.5,11.5
Metro Inc.,2025,27/09/2025,14539.4,7494.3,7045.1,1604.3,2661,2053.8,67.3,4602,2938.1,293.1,1724.9,-438.2,840.6,-316.8,-801.3,-165.6,1320.2,22006.7,4345.8,1861.6,1471.3,1017,0.037,0.197,0.085,0.067,0.046,0.064,0.145,1.3,0.5,0.653,0.395,2.3,1.5,11.3
Loblaw Companies Limited,2021,01/01/2022,36614,24877,11737,5166,12637,9196,2441,16554,4297,52,4827,-803,3661,-484,-1250,-431,2442,53170,16670,4266,2927,1875,0.009,0.314,0.08,0.055,0.035,0.05,0.173,1.4,0.8,1.41,0.585,3.2,1.5,7
Loblaw Companies Limited,2022,31/12/2022,38147,26691,11456,5855,13376,10098,1935,17606,4866,8,4755,-1152,3153.1,-529,-1396,-599,2659,56504,17892,4698,3308,1921,0.063,0.317,0.083,0.059,0.034,0.055,0.172,1.3,0.7,1.537,0.606,3.1,1.5,7
Loblaw Companies Limited,2023,30/12/2023,38979,27360,11619,5820,13578,10847,1953,18173,4460,13,5654,-1665,2835.8,-562,-1801,-660,2901,59529,18894,5014,3578,2100,0.054,0.317,0.084,0.06,0.035,0.058,0.19,1.3,0.7,1.564,0.61,3,1.5,6.9
Loblaw Companies Limited,2024,28/12/2024,40880,29614,11266,6330,14548,11768,2110,19184,7570,,5802,-1823,3006.4,-459,-1826,-706,2791,60123,18835,5119,3665,2171,0.01,0.313,0.085,0.061,0.036,0.057,0.18,1.2,0.7,1.703,0.63,3.1,1.5,6.8
Loblaw Companies Limited,2025,03/01/2026,41577,30385,11192,6491,14928,13870,1041,16305,5891,,6264,-1712,3774.3,-812,-1981,-763,3682,63903,20032,5635,4469,2667,0.063,0.313,0.088,0.07,0.042,0.068,0.232,1.1,0.2,1.457,0.593,2.4,1.5,6.8
Empire Company Limited,2021,01/05/2021,15173.9,10675.9,4498,1500.1,3193.5,3488.2,890.5,7133.4,1178.8,46.5,1859.6,-566.3,707.3,-139.4,-153.6,-292.8,1030.1,28335.6,7266.6,1652.4,1255.9,701.5,0.062,0.256,0.058,0.044,0.025,0.053,0.18,0.9,0.5,1.586,0.613,3.5,1.9,14.1
Empire Company Limited,2022,07/05/2022,16593.6,11459.7,5133.9,1591.5,3212.7,4239.7,812.3,7462.1,595.7,581,2107.1,-633,962.4,-156.8,-248.9,-301.9,1081.6,30272.2,7769.5,1768,1325.4,745.8,0.068,0.257,0.058,0.044,0.025,0.052,0.168,0.8,0.4,1.453,0.592,3.3,1.9,14.6
Empire Company Limited,2023,06/05/2023,16483.7,11147,5336.7,1743.3,2955,3857.5,221.3,7196.9,911.3,101,1605.3,-574.2,564.2,-170.2,-350,-284,965.4,30581.9,7896.5,1660.9,1192.8,686,0.01,0.258,0.054,0.039,0.022,0.045,0.139,0.8,0.3,1.349,0.574,3.4,1.8,13.6
Empire Company Limited,2024,04/05/2024,16790,11321,5469,1772,3104,3891,260,7361,982,114,2073,-705,699.4,-179,-400,-304,1029,30800,8138,2123,1140,726,0.007,0.264,0.069,0.037,0.024,0.043,0.141,0.8,0.3,1.346,0.574,3.5,1.9,12.9
Empire Company Limited,2025,03/05/2025,17019,11475,5544,1833,3134,4096,285,7464,857,225,2127,-640,1095.1,-190,-400,-319,995,31360,8465,2291,1260,700,0.018,0.27,0.073,0.04,0.022,0.047,0.135,0.8,0.3,1.346,0.574,3.3,1.9,12.7
Dollarama Inc. (TSX:DOL),2021,Jan-31-2021,4223.7,3888.9,334.9,630.7,1100.4,1321.2,439.1,3460.6,1044.1,1014.7,888.6,-140,645.3,-54.8,-87,-95.6,765.4,4026.3,1911.6,999.3,925.3,564.3,0.063,0.475,0.248,0.23,0.14,0.146,4.651,0.8,0.3,10.335,0.912,2.9,1,3.4
Dollarama Inc. (TSX:DOL),2022,Jan-30-2022,4063.6,4129.6,-66,590.9,717.4,911.9,71.1,3616.7,1539.2,550.9,1159.2,-136.8,776.4,-60.5,-1059.9,-91.2,893.4,4330.8,2049,1070.6,986.9,663.2,0.076,0.473,0.247,0.228,0.153,0.149,4.934,0.8,0.1,NM,1.019,2.9,1,3.7
Dollarama Inc. (TSX:DOL),2023,Jan-29-2023,4819.7,4791.2,28.4,957.2,1156.9,1162.9,101.3,4218.8,1741.6,735.3,869,-134,483.4,-63,-689,-126.8,1076.1,5052.7,2351,1239.1,1146.1,801.9,0.167,0.465,0.245,0.227,0.159,0.161,NM,1,0.1,148.497,0.993,2.9,1.1,3.5
Dollarama Inc. (TSX:DOL),2024,Jan-28-2024,5263.6,4882.8,380.8,916.8,1309.1,677.8,315.9,4333.6,2242.9,256,1531,-252.7,939.8,-76.1,-655.9,-167.2,1350.9,5867.3,2613.4,1524.4,1420.4,1010.5,0.161,0.445,0.26,0.242,0.172,0.176,4.938,1.9,0.6,11.379,0.919,2.5,1.2,3.5
Dollarama Inc. (TSX:DOL),2025,Feb-02-2025,6482.6,5294.3,1188.3,921.1,1201.3,1014.3,135,4709.7,2008.9,552.5,1644.1,-212.8,1021,-97.2,-1090.7,-187.5,1546.9,6413.1,2893.7,1697,1580.8,1168.5,0.093,0.451,0.265,0.246,0.182,0.168,1.489,1.2,0.2,3.963,0.799,2.4,1.1,3.8
"Canadian Tire Corporation, Limited (TSX:CTC.A)",2021,01/01/2022,21802.2,15291.4,6510.8,2480.6,11646.6,6790,2357.9,10556.2,1379.1,58,1735.9,-630.6,1378.9,-271.1,-131.1,-236.2,1701.9,16292.1,5478.1,2230.8,1941.6,1127.6,0.096,0.336,0.137,0.119,0.069,0.058,0.204,1.7,1.3,1.621,0.619,4.2,0.8,4.2
"Canadian Tire Corporation, Limited (TSX:CTC.A)",2022,31/12/2022,22102.3,15063.1,7039.2,3216.1,11530.4,7147,507.6,10212.2,1148.4,126.6,466.5,-612.5,-752.8,-325.8,-425.4,-251.9,1583.8,17810.6,5735.6,2216.6,1924.5,1044.1,0.093,0.322,0.124,0.108,0.059,0.055,0.175,1.6,1.1,1.451,0.592,4,0.8,3.9
"Canadian Tire Corporation, Limited (TSX:CTC.A)",2023,30/12/2023,21978.3,15533.5,6444.8,2693.7,11293.1,6389,105.4,11659,2419.2,525.6,1353.7,-580.9,-60.9,-360.8,-376.1,-361.3,572.8,16656.5,5699.9,1636.7,1317.6,213.3,-0.065,0.342,0.098,0.079,0.013,0.037,0.05,1.8,1.3,1.809,0.644,5.9,0.8,3.5
"Canadian Tire Corporation, Limited (TSX:CTC.A)",2024,28/12/2024,22240.6,15152.3,7088.3,2558.3,11347.9,6335.4,176,10899.2,1900.6,2,2063.8,-567.8,1029.2,-359.8,-29.8,-384.6,1175.1,15516,4820.9,1546.5,1247.1,887.7,-0.068,0.311,0.1,0.08,0.057,0.035,0.135,1.8,1.3,1.538,0.606,5.8,0.7,3.6
"Canadian Tire Corporation, Limited (TSX:CTC.A)",2025,03/01/2026,21539.8,14725.9,6813.9,2417.5,11316.3,6196.5,214.9,10655,1623.3,,952.1,-582,780.6,-361.7,-467.2,-329.7,878.5,16315.5,5188.3,1741,1408.9,526.3,0.052,0.318,0.107,0.086,0.032,0.04,0.095,1.8,1.4,1.564,0.61,5.2,0.7,4
